date;btc;eth;ltc;xrp;bric;sp500;eurostoxx;nasdaq;bond_europe;bond_us;bond_eur;eur;gbp;chf;jpy;gold;wti;grain;metal;vix
15/03/2018;0.0037;-0.0049;0.0208;-0.0066;0.0018;-0.0008;0.0068;-0.002;0.0011;-0.0005;0.0006;-0.0051;-0.0018;-0.0069;-0.0001;-0.0066;0.0038;-0.0068;-0.0055;-0.0379
14/03/2018;-0.106;-0.1174;-0.0872;-0.1179;-0.0027;-0.0057;-0.0019;-0.0019;0.0017;0.0016;0.0008;-0.0018;0;-0.0009;0.0023;-0.0013;0.0041;-0.0054;-0.002;0.0524
13/03/2018;-0.0011;-0.0129;-0.0138;-0.0143;-0.0024;-0.0064;-0.0094;-0.0102;0.0008;0.0008;0.0005;0.0045;0.004;0.0038;-0.0015;0.0026;-0.0106;0.0006;0.0086;0.0355
12/03/2018;-0.0143;-0.0407;-0.0489;-0.059;0.0138;-0.0013;0.0026;0.0036;0.0013;0.0013;0.0012;0.0022;0.004;0.004;0.0037;-0.0006;-0.011;0.0018;-0.0111;0.075
09/03/2018;-0.0061;0.0339;0.0586;0.0285;0.0122;0.0172;0.0021;0.0177;-0.0008;-0.0011;-0.0012;-0.0004;0.0028;-0.0003;-0.0055;0.0015;0.0314;-0.0167;0.016;-0.122
08/03/2018;-0.059;-0.0662;-0.0515;-0.0535;0.0049;0.0045;0.0106;0.0042;0.002;0.001;0.0019;-0.008;-0.0061;-0.0081;-0.0015;-0.0027;-0.017;0.0065;-0.0097;-0.0712
07/03/2018;-0.0785;-0.0817;-0.0563;-0.0576;-0.0057;-0.0005;0.0058;0.0033;0.0014;-0.0006;0.0013;0.0006;0.0006;-0.003;0.0004;-0.0068;-0.0234;-0.0096;-0.0152;-0.0332
06/03/2018;-0.071;-0.044;-0.0715;-0.0388;0.0134;0.0026;0.0008;0.0056;-0.0022;0.0005;-0.0013;0.0055;0.0028;-0.0008;0.0008;0.0109;0.0005;-0.0016;0.0072;-0.02
05/03/2018;0.043;-0.0037;-0.0065;0.0527;-0.0079;0.011;0.0092;0.01;0.0001;-0.001;-0.0001;0.0015;0.0034;-0.0025;-0.0043;-0.002;0.0213;0.0103;-0.0032;-0.0449
02/03/2018;0.0123;-0.0178;0.0133;-0.0198;-0.0096;0.0051;-0.0221;0.0107;-0.0015;-0.0029;-0.0002;0.0041;0.0019;0.0045;0.0047;0.0043;0.0043;-0.0095;-0.0031;-0.1372
01/03/2018;0.0518;0.0197;0.0332;0.0259;-0.0006;-0.0134;-0.0116;-0.0128;0.0008;0.0027;0.001;0.006;0.0012;0.0029;0.0042;-0.001;-0.0106;0.0214;-0.0035;0.124
28/02/2018;-0.031;-0.0266;-0.0653;-0.0461;-0.015;-0.0112;-0.0055;-0.0079;0.0009;0.002;0.0011;-0.0032;-0.0108;-0.006;0.0061;0;-0.022;0.0166;-0.0111;0.0656
27/02/2018;0.034;0.0102;-0.0199;-0.01;-0.0138;-0.0128;-0.0015;-0.0124;-0.0011;-0.0024;-0.0005;-0.0068;-0.0042;-0.0009;-0.0036;-0.0116;-0.0142;0.0072;-0.0062;0.1626
26/02/2018;0.0063;0.0059;0.0542;-0.043;0.0054;0.0117;0.0063;0.0114;0.0007;0.0008;0.0009;0.0018;-0.0002;-0.0019;-0.0005;0.0037;0.0056;0.0084;0.0037;-0.0427
23/02/2018;0.0292;0.0613;0.0692;0.0588;0.0136;0.0159;0.0028;0.0175;0.0025;0.0023;0.002;-0.0028;0.0011;-0.0036;-0.0012;-0.0025;0.0123;0.0006;-0.0125;-0.1268
